o_id,name,slug,description,url,retail_price,store,brand,episode,season,show,character,image_cover_picture,image_picture_1,image_picture_2,image_picture_3,type,color,tags,recommended_products
ObjectID(5270b7b002c82d6070000007),"Blue Fine Line Pinstripe Dress Shirt","Blue-Fine-Line-Pinstripe-","Pinpoint fine blue pinstripe dress shirt.","http://www.josbank.com/menswear/shop/Product_11001_10050_102550 ","55.00","Jos A. Bank","Jos A. Bank",12,5,"White Collar","Peter Burke",,,,,"Shirt","White","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270b80502c82d76ca000004),"Emerald Green Mini-Square Tie","Emerald-Green-Mini-Square","Emerald green woven silk tie patterned with blue mini-squares.","http://shop.nordstrom.com/S/nordstrom-woven-silk-tie-tall/3577769?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=GREEN&resultback=3662&cm_sp=personalizedsort-_-browseresults-_-1_11_B ","49.50","Nordstrom","Nordstrom",12,5,"White Collar","Peter Burke",,,,,"Tie","Green","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Tie"" ]",
ObjectID(5270b84b02c82d34d6000002),"Pale Blue Oxford Shirt","Pale-Blue-Oxford-Shirt","Pale blue button-front oxford shirt.","http://bananarepublic.gap.com/browse/product.do?cid=56729&vid=1&pid=674951042 ","79.50","Banana Republic","Banana Republic",12,5,"White Collar","Peter Burke",,,,,"Shirt","Blue","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270b88102c82d39a2000004),"Black Square Grid Tie","Black-Square-Grid-Tie","Black silk tie with grid of silver and blue squares.","http://shop.nordstrom.com/S/john-w-nordstrom-woven-silk-tie/3518605?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=BLACK&resultback=1216&cm_sp=personalizedsort-_-browseresults-_-3_4_A ","79.50","Nordstrom","Nordstrom",12,5,"White Collar","Peter Burke",,,,,"Tie","black","[ ""White_Collar"", "" Peter"", "" Lookalike"", "" Tie"" ]",
ObjectID(5270b8b902c82d6f18000009),"Leather Dress Belt","Leather-Dress-Belt","Leather dress belt with tonal stitching and shiny nickel square buckle.","http://www.barneys.com/on/demandware.store/Sites-BNY-Site/default/Product-Show?pid=502748438&cgid=mens-belts&index=21 ","145.00","Barney's New York","Barney's New York",12,5,"White Collar","Peter Burke",,,,,"Belt","black","[ ""White_Collar"", "" Peter"", "" Belt"" ]",
ObjectID(5270b94f02c82d6070000008),"Heather Green Long-Sleeve Shirt","Heather-Green-Long-Sleeve","Ribbed textural weave knit green long-sleeve t-shirt with stitched V at scoop neckline.","http://www.gap.com/browse/product.do?cid=5783&vid=1&pid=766695042","25.99","Gap","Gap",12,5,"White Collar","Elizabeth Burke",,,,,"Shirt","Green","[ ""White_Collar"", "" Elizabeth"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270b9b302c82d3679000005),"Brown Stretch Cotton Sport Shirt","Brown-Stretch-Cotton-Spor","Brown button-front stretch cotton sport shirt.","http://shop.nordstrom.com/S/boss-hugo-boss-mirko-regular-fit-sport-shirt/3506876?origin=category&contextualcategoryid=0&fashionColor=&resultback=1485 ","175.00","Nordstrom","Hugo Boss",12,5,"White Collar","Mozzie",,,,,"Shirt","Brown","[ ""White_Collar"", "" Mozzie"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270b9f202c82d76ca000005),"Slant Pocket Charcoal Chinos","Slant-Pocket-Charcoal-Chi","Charcoal grey cotton chinos with slant pockets","http://www1.macys.com/shop/product/kenneth-cole-reaction-pants-slant-pocket-slim-fit-pants?ID=941960&CategoryID=89&LinkType=#fn=COLOR%3DGray%26PANT_STYLE%3DFlat%20Front%26SPECIAL_OCCASIONS%3DCasual%20Pant%3B%3BCasual%26sp%3D1%26spc%3D56%26ruleId%3D27%26slotId%3D38 ","39.98","Macys","Kenneth Cole",12,5,"White Collar","Mozzie",,,,,"Pants","Gray","[ ""White_Collar"", "" Mozzie"", "" Lookalike"", "" Pants"" ]",
ObjectID(5270ba2d02c82d23b5000003),"Brown Leather Lace-up Hightop Boots","Brown-Leather-Lace-up-Hig","Brown leather sports boot with seam detail around toe.","http://blackstoneshoes.com/shop/cm14/ ","299.00","Blackstone Shoes","Blackstone Shoes",12,5,"White Collar","Mozzie",,,,,"Shoes","Brown","[ ""White_Collar"", "" Mozzie"", "" Shoes"" ]",
ObjectID(5270ba5102c82d76ca000006),"Black Textured Leather Workboot","Black-Textured-Leather-Wo","Black leather work boot with full grain leather upper and a cemented lug sole with welted construction.","http://blackstoneshoes.com/shop/am12/ ","259.00","Blackstone Shoes","Blackstone Shoes",12,5,"White Collar","Mozzie",,,,,"Shoes","black","[ ""White_Collar"", "" Mozzie"", "" Shoes"" ]",
ObjectID(5270bab502c82d6070000009),"Basic White T-Shirt","Basic-White-T-Shirt","White short-sleeve crewneck t-shirt.","http://www.gap.com/browse/product.do?cid=95787&vid=1&pid=768620002 ","16.95","Gap","Gap",12,5,"White Collar","Mozzie",,,,,"Shirt","White","[ ""White_Collar"", "" Mozzie"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270bc2002c82d3679000006),"Slate Blue Cotton Oxford Shirt","Slate-Blue-Cotton-Oxford-","Vintage oxford shirt in slate blue tonal cotton","http://www.jcrew.com/mens_category/shirts/oxfordshirts/PRDOVR~93060/93060.jsp?color_name=fairmont-blue","69.50","J. Crew","J. Crew",12,5,"White Collar","Mozzie",,,,,"Shirt","Blue","[ ""White_Collar"", "" Mozzie"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270bc5202c82d76ca000007),"Tan Lace-up Desert Boot","Tan-Lace-up-Desert-Boot","Caramel suede lace-up desert boot with stitching around sole.","http://www.jcrew.com/mens_category/shoes/casualbootschukkas/PRDOVR~30442/30442.jsp?color_name=dark-khaki ","190.00","J. Crew","J. Crew",12,5,"White Collar","Mozzie",,,,,"Shoes","Brown","[ ""White_Collar"", "" Mozzie"", "" Shoes"" ]",
ObjectID(5270bcca02c82d7c4200000a),"Gray Cotton Cap-Sleeve T-Shirt","Gray-Cotton-Cap-Sleeve-T-","Heather light gray vintage cotton cap-sleeve boatneck t-shirt.","http://www.jcrew.com/womens_category/knitstees/shortsleevetees/PRDOVR~84179/84179.jsp","24.50","J. Crew","J. Crew",12,5,"White Collar","Diana Barrigan",,,,,"Shirt","Gray","[ ""White_Collar"", "" Diana"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270bd3402c82d76ca000008),"Navy Flap-Pocket Blazer","Navy-Flap-Pocket-Blazer","Navy blue one-button, flap-pocket blazer.","http://www1.macys.com/shop/product/inc-international-concepts-jacket-flap-pocket-suit-blazer?ID=908033&CategoryID=120&swatchColor=Deep%20Black","79.98","Macys","INC International Concepts",12,5,"White Collar","Diana Barrigan",,,,,"Jacket","Blue","[ ""White_Collar"", "" Diana"", "" Lookalike"", "" Jacket"" ]",
ObjectID(5270bd9202c82d23b5000004),"Navy Suiting Pants","Navy-Suiting-Pants","Navy blue straight-fit suiting pants.","http://www1.macys.com/shop/product/inc-international-concepts-pants-suiting-trousers?ID=908031&CategoryID=157&swatchColor=Midnight%20Ink ","59.98","Macys","INC International Concepts",12,5,"White Collar","Diana Barrigan",,,,,"Pants","Blue","[ ""White_Collar"", "" Diana"", "" Lookalike"", "" Pants"" ]",
ObjectID(5270bdd502c82d7c4200000b),"Black Silk Georgette Blouse","Black-Silk-Georgette-Blou","Black sheer silk georgette button-front long-sleeve blouse. ","http://shop.nordstrom.com/S/eileen-fisher-sheer-silk-georgette-shirt/3529060?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=&resultback=4354&cm_sp=personalizedsort-_-browseresults-_-1_13_D ","218.00","Nordstrom","Eileen Fisher",12,5,"White Collar","Diana Barrigan",,,,,"Shirt","black","[ ""White_Collar"", "" Diana"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270be3002c82d34d6000003),"Black Deep Notch Collar Blazer","Black-Deep-Notch-Collar-B","Black single-button blazer with two front flap pockets and deep notch collar.","http://shop.nordstrom.com/S/rag-bone-roseburg-blazer/3614263?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=&resultback=2961&cm_sp=personalizedsort-_-browseresults-_-1_9_C ","495.00","Nordstrom","Rag & Bone",12,5,"White Collar","Diana Barrigan",,,,,"Jacket","black","[ ""White_Collar"", "" Diana"", "" Lookalike"", "" Jacket"" ]",
ObjectID(5270be7202c82d23b5000005),"Black Wool Trousers","Black-Wool-Trousers","Straight leg black wool trousers.","http://shop.nordstrom.com/s/santorelli-straight-leg-wool-suiting-pants/3599768?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=&resultback=541&cm_sp=personalizedsort-_-browseresults-_-1_2_D ","250.00","Nordstrom","Santorelli",12,5,"White Collar","Diana Barrigan",,,,,"Jacket","black","[ ""White_Collar"", "" Diana"", "" Lookalike"", "" Pants"" ]",
ObjectID(5270bef502c82d76ca00000b),"Black Leather Sheath Dress","Black-Leather-Sheath-Dres","Sleeveless black leather-texture sheath dress with deep V-neck.","http://www.lulus.com/products/born-to-be-styled-black-vegan-leather-dress/102018.html?gclid=CLSaj6eps7oCFcGd4AodNE8AYw ","63.00","Lulu's","Lulu's",12,5,"White Collar","Diana Barrigan",,,,,"Dress","black","[ ""White_Collar"", "" Diana"", "" Lookalike"", "" Dress"" ]",
ObjectID(5270bf4402c82d6f1800000b),"Leather Trimmed Ponte Knit Jacket","Leather-Trimmed-Ponte-Kni","Ponte knit black moto jacket with wide lapels and leather trim.","http://shop.nordstrom.com/S/nydj-ponte-knit-moto-jacket/3536096?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=&resultback=3501&cm_sp=personalizedsort-_-browseresults-_-3_10_B ","180.00","Nordstrom","NYJD",12,5,"White Collar","Diana Barrigan",,,,,"Jacket","black","[ ""White_Collar"", "" Diana"", "" Lookalike"", "" Jacket"" ]",
